会社ID,会社名,薬局ID,薬局名,商品ID,商品名,カテゴリID,カテゴリ名,表示ステータス(公開・非公開),ダミーフラグ,ダミーフラグ名,掲載終了日,商品ステータス,商品ステータス名,商品コード,販売価格,在庫数,販売制限数,雇用形態,アピールポイント,条件,検索ワード(コメント3),詳細-メインコメント,地域,地域名,詳細-サブコメント(1),詳細-サブコメント(2),詳細-サブコメント(3),詳細-サブコメント(4),詳細-サブコメント(8)
9,GTO株式会社,77,朝霞倉庫,,■志木駅より路線バス■ソファやチェアの荷降ろしなど■スポット勤務ご希望の方にピッタリ,7,オフィスワーク・事務,1,1,本物,2014/3/1,"5,6","派遣未経験者大歓迎,特になし",2014021701,950,1,1,34,17,12,"倉庫,軽作業,朝霞,スポット,","【仕事内容】
ソファやチェアなどの荷降ろし業務。
コンテナから商品を降ろして倉庫に格納する仕事をメインに、破損した商品の修理などの付随業務も行って頂きます。

【特徴】
最寄バス停からスグなので通勤しやすい環境です。志木駅から路線バスが出ています。

【その他おすすめポイントなど】
現場では丁寧に指示を頂けるので、はじめての方でも安心して仕事が出来る環境です。アットホームな環境です。

【持ち物・服装】
ラバー付き軍手、ジーパンやジャージ以外の作業しやすい服装",,,朝霞市上内間木,志木駅から路線バス,"月,火,水,木,金",9:00〜17:00,"荷降ろし,ソファ,チェア"
9,GTO株式会社,77,朝霞倉庫,,■朝霞駅より路線バス■ソファやチェアの荷降ろしなど■スポット勤務ご希望の方にピッタリ,7,オフィスワーク・事務,1,1,本物,2014/2/20,"5,6","派遣未経験者大歓迎,特になし",2014021702,950,1,1,34,17,12,"倉庫,軽作業,朝霞,スポット,","【仕事内容】
ソファやチェアなどの荷降ろし業務。
コンテナから商品を降ろして倉庫に格納する仕事をメインに、破損した商品の修理などの付随業務も行って頂きます。

【特徴】
最寄バス停からスグなので通勤しやすい環境です。朝霞駅から路線バスが出ています。

【その他おすすめポイントなど】
現場では丁寧に指示を頂けるので、はじめての方でも安心して仕事が出来る環境です。アットホームな環境です。

【持ち物・服装】
ラバー付き軍手、ジーパンやジャージ以外の作業しやすい服装やチェアなどの荷降ろし業務。",,,朝霞市上内間木,志木駅から路線バス,"月,火,水,木,金",9:00〜17:01,"荷降ろし,ソファ,チェア"
